team,game_id,pos,stat,val
Eagles,0,PG,PTS,25.0
Eagles,0,PG,REB,19.0
Eagles,0,PG,AST,4.0
Eagles,0,SG,PTS,4.0
Eagles,0,SG,REB,11.0
Eagles,0,SG,AST,23.0
Eagles,0,SF,PTS,12.0
Eagles,0,SF,REB,18.0
Eagles,0,SF,AST,15.0
Eagles,0,PF,PTS,19.0
Eagles,0,PF,REB,10.0
Eagles,0,PF,AST,18.0
Eagles,0,C,PTS,26.0
Eagles,0,C,REB,7.0
Eagles,0,C,AST,18.0
Eagles,1,PG,PTS,7.0
Eagles,1,PG,REB,11.0
Eagles,1,PG,AST,12.0
Eagles,1,SG,PTS,13.0
Eagles,1,SG,REB,11.0
Eagles,1,SG,AST,20.0
Eagles,1,SF,PTS,22.0
Eagles,1,SF,REB,3.0
Eagles,1,SF,AST,13.0
Eagles,1,PF,PTS,31.0
Eagles,1,PF,REB,27.0
Eagles,1,PF,AST,11.0
Eagles,1,C,PTS,21.0
Eagles,1,C,REB,11.0
Eagles,1,C,AST,9.0
Eagles,2,PG,PTS,19.0
Eagles,2,PG,REB,8.0
Eagles,2,PG,AST,32.0
Eagles,2,SG,PTS,2.0
Eagles,2,SG,REB,1.0
Eagles,2,SG,AST,11.0
Eagles,2,SF,PTS,9.0
Eagles,2,SF,REB,7.0
Eagles,2,SF,AST,29.0
Eagles,2,PF,PTS,13.0
Eagles,2,PF,REB,7.0
Eagles,2,PF,AST,26.0
Eagles,2,C,PTS,16.0
Eagles,2,C,REB,2.0
Eagles,2,C,AST,15.0
Eagles,3,PG,PTS,15.0
Eagles,3,PG,REB,11.0
Eagles,3,PG,AST,7.0
Eagles,3,SG,PTS,12.0
Eagles,3,SG,REB,1.0
Eagles,3,SG,AST,2.0
Eagles,3,SF,PTS,9.0
Eagles,3,SF,REB,5.0
Eagles,3,SF,AST,2.0
Eagles,3,PF,PTS,24.0
Eagles,3,PF,REB,18.0
Eagles,3,PF,AST,7.0
Eagles,3,C,PTS,11.0
Eagles,3,C,REB,9.0
Eagles,3,C,AST,9.0
Eagles,4,PG,PTS,29.0
Eagles,4,PG,REB,5.0
Eagles,4,PG,AST,1.0
Eagles,4,SG,PTS,20.0
Eagles,4,SG,REB,6.0
Eagles,4,SG,AST,8.0
Eagles,4,SF,PTS,29.0
Eagles,4,SF,REB,12.0
Eagles,4,SF,AST,10.0
Eagles,4,PF,PTS,13.0
Eagles,4,PF,REB,18.0
Eagles,4,PF,AST,24.0
Eagles,4,C,PTS,26.0
Eagles,4,C,REB,8.0
Eagles,4,C,AST,7.0
Eagles,5,PG,PTS,25.0
Eagles,5,PG,REB,2.0
Eagles,5,PG,AST,21.0
Eagles,5,SG,PTS,18.0
Eagles,5,SG,REB,7.0
Eagles,5,SG,AST,7.0
Eagles,5,SF,PTS,11.0
Eagles,5,SF,REB,3.0
Eagles,5,SF,AST,11.0
Eagles,5,PF,PTS,15.0
Eagles,5,PF,REB,6.0
Eagles,5,PF,AST,4.0
Eagles,5,C,PTS,13.0
Eagles,5,C,REB,5.0
Eagles,5,C,AST,9.0
Eagles,6,PG,PTS,18.0
Eagles,6,PG,REB,8.0
Eagles,6,PG,AST,15.0
Eagles,6,SG,PTS,16.0
Eagles,6,SG,REB,6.0
Eagles,6,SG,AST,13.0
Eagles,6,SF,PTS,17.0
Eagles,6,SF,REB,3.0
Eagles,6,SF,AST,3.0
Eagles,6,PF,PTS,18.0
Eagles,6,PF,REB,19.0
Eagles,6,PF,AST,2.0
Eagles,6,C,PTS,31.0
Eagles,6,C,REB,6.0
Eagles,6,C,AST,5.0
Eagles,7,PG,PTS,2.0
Eagles,7,PG,REB,1.0
Eagles,7,PG,AST,6.0
Eagles,7,SG,PTS,21.0
Eagles,7,SG,REB,11.0
Eagles,7,SG,AST,6.0
Eagles,7,SF,PTS,38.0
Eagles,7,SF,REB,14.0
Eagles,7,SF,AST,5.0
Eagles,7,PF,PTS,18.0
Eagles,7,PF,REB,5.0
Eagles,7,PF,AST,7.0
Eagles,7,C,PTS,1.0
Eagles,7,C,REB,8.0
Eagles,7,C,AST,16.0
Eagles,8,PG,PTS,13.0
Eagles,8,PG,REB,16.0
Eagles,8,PG,AST,14.0
Eagles,8,SG,PTS,7.0
Eagles,8,SG,REB,15.0
Eagles,8,SG,AST,6.0
Eagles,8,SF,PTS,14.0
Eagles,8,SF,REB,11.0
Eagles,8,SF,AST,13.0
Eagles,8,PF,PTS,4.0
Eagles,8,PF,REB,8.0
Eagles,8,PF,AST,1.0
Eagles,8,C,PTS,30.0
Eagles,8,C,REB,8.0
Eagles,8,C,AST,10.0
Eagles,9,PG,PTS,27.0
Eagles,9,PG,REB,19.0
Eagles,9,PG,AST,6.0
Eagles,9,SG,PTS,22.0
Eagles,9,SG,REB,7.0
Eagles,9,SG,AST,6.0
Eagles,9,SF,PTS,39.0
Eagles,9,SF,REB,13.0
Eagles,9,SF,AST,5.0
Eagles,9,PF,PTS,22.0
Eagles,9,PF,REB,9.0
Eagles,9,PF,AST,4.0
Eagles,9,C,PTS,13.0
Eagles,9,C,REB,23.0
Eagles,9,C,AST,4.0
Eagles,10,PG,PTS,6.0
Eagles,10,PG,REB,1.0
Eagles,10,PG,AST,11.0
Eagles,10,SG,PTS,37.0
Eagles,10,SG,REB,9.0
Eagles,10,SG,AST,10.0
Eagles,10,SF,PTS,14.0
Eagles,10,SF,REB,2.0
Eagles,10,SF,AST,7.0
Eagles,10,PF,PTS,24.0
Eagles,10,PF,REB,7.0
Eagles,10,PF,AST,16.0
Eagles,10,C,PTS,8.0
Eagles,10,C,REB,12.0
Eagles,10,C,AST,6.0
Eagles,11,PG,PTS,7.0
Eagles,11,PG,REB,1.0
Eagles,11,PG,AST,5.0
Eagles,11,SG,PTS,20.0
Eagles,11,SG,REB,10.0
Eagles,11,SG,AST,12.0
Eagles,11,SF,PTS,25.0
Eagles,11,SF,REB,8.0
Eagles,11,SF,AST,12.0
Eagles,11,PF,PTS,28.0
Eagles,11,PF,REB,8.0
Eagles,11,PF,AST,6.0
Eagles,11,C,PTS,13.0
Eagles,11,C,REB,15.0
Eagles,11,C,AST,17.0
Eagles,12,PG,PTS,27.0
Eagles,12,PG,REB,1.0
Eagles,12,PG,AST,11.0
Eagles,12,SG,PTS,31.0
Eagles,12,SG,REB,19.0
Eagles,12,SG,AST,24.0
Eagles,12,SF,PTS,19.0
Eagles,12,SF,REB,11.0
